ODINO,MFR_NAME,COMPONENT,VEHICLE_MODEL_YEAR,MAKE,MODEL,CDESCR,CRASH,FIRE,INJURED,DEATHS,DATEA,document_id,document_type,sensitivity_level,DATA_SOURCE
11500000,Apex Motor Works,POWER TRAIN,2021,Apex,Summit,The owner of a 2021 Apex Summit reported warning lamp illuminated while driving. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,08/01/2025,complaint-11500000,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500001,Cobalt Auto Corporation,ELECTRICAL SYSTEM,2024,Cobalt,Vista,The owner of a 2024 Cobalt Vista reported intermittent warning appeared during cold start. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,03/20/2025,complaint-11500001,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500002,Riverton Truck Co.,POWER TRAIN,2024,Riverton,Hauler,The owner of a 2024 Riverton Hauler reported dealer could not duplicate the concern on the first visit. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,05/14/2025,complaint-11500002,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500003,Northstar Mobility LLC,SUSPENSION,2023,Northstar,Trail LX,The owner of a 2023 Northstar Trail LX reported condition occurred twice within the same month. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,09/03/2025,complaint-11500003,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500004,Cobalt Auto Corporation,"FUEL SYSTEM, GASOLINE",2015,Cobalt,Vista,"The owner of a 2015 Cobalt Vista reported owner reported reduced confidence during highway operation. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,02/26/2025,complaint-11500004,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500005,Apex Motor Works,AIR BAGS,2022,Apex,Summit,The owner of a 2022 Apex Summit reported warning lamp illuminated while driving. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,10/13/2025,complaint-11500005,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500006,Continental Passenger Vehicles,SUSPENSION,2023,CPV,Ranger,The owner of a 2023 CPV Ranger reported intermittent warning appeared during cold start. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,06/07/2025,complaint-11500006,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500007,Helio Motors Inc.,"SERVICE BRAKES, HYDRAULIC",2025,Helio,Voltiva,"The owner of a 2025 Helio Voltiva reported dealer could not duplicate the concern on the first visit. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,07/16/2025,complaint-11500007,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500008,Apex Motor Works,STEERING,2022,Apex,Summit,The owner of a 2022 Apex Summit reported condition occurred twice within the same month. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,01/13/2025,complaint-11500008,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500009,Northstar Mobility LLC,STEERING,2019,Northstar,Trail LX,The owner of a 2019 Northstar Trail LX reported owner reported reduced confidence during highway operation. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,03/11/2025,complaint-11500009,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500010,Northstar Mobility LLC,TIRES,2016,Northstar,Trail LX,The owner of a 2016 Northstar Trail LX reported warning lamp illuminated while driving. The concern involved tires and may relate to the tire placard may show an incorrect cold inflation pressure.,N,N,0,0,03/08/2025,complaint-11500010,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500011,Riverton Truck Co.,SEAT BELTS,2021,Riverton,Hauler,The owner of a 2021 Riverton Hauler reported intermittent warning appeared during cold start. The concern involved seat belts and may relate to the second-row buckle anchor may not meet retention specifications.,N,N,0,0,04/16/2025,complaint-11500011,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500012,Northstar Mobility LLC,ELECTRICAL SYSTEM,2023,Northstar,Trail LX,The owner of a 2023 Northstar Trail LX reported dealer could not duplicate the concern on the first visit. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,05/19/2025,complaint-11500012,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500013,Helio Motors Inc.,TIRES,2026,Helio,Voltiva,The owner of a 2026 Helio Voltiva reported condition occurred twice within the same month. The concern involved tires and may relate to the tire placard may show an incorrect cold inflation pressure.,N,N,0,0,02/05/2025,complaint-11500013,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500014,Continental Passenger Vehicles,"FUEL SYSTEM, GASOLINE",2015,CPV,Ranger,"The owner of a 2015 CPV Ranger reported owner reported reduced confidence during highway operation. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,11/04/2025,complaint-11500014,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500015,Helio Motors Inc.,AIR BAGS,2018,Helio,Voltiva,The owner of a 2018 Helio Voltiva reported warning lamp illuminated while driving. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,06/10/2025,complaint-11500015,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500016,Helio Motors Inc.,"SERVICE BRAKES, HYDRAULIC",2017,Helio,Voltiva,"The owner of a 2017 Helio Voltiva reported intermittent warning appeared during cold start. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,02/09/2025,complaint-11500016,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500017,Helio Motors Inc.,POWER TRAIN,2017,Helio,Voltiva,The owner of a 2017 Helio Voltiva reported dealer could not duplicate the concern on the first visit. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,01/14/2025,complaint-11500017,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500018,Continental Passenger Vehicles,POWER TRAIN,2019,CPV,Ranger,The owner of a 2019 CPV Ranger reported condition occurred twice within the same month. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,06/22/2025,complaint-11500018,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500019,Apex Motor Works,ELECTRICAL SYSTEM,2022,Apex,Summit,The owner of a 2022 Apex Summit reported owner reported reduced confidence during highway operation. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,07/16/2025,complaint-11500019,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500020,Orion Automotive Group,POWER TRAIN,2015,Orion,Metro EV,The owner of a 2015 Orion Metro EV reported warning lamp illuminated while driving. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,12/28/2025,complaint-11500020,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500021,Continental Passenger Vehicles,"FUEL SYSTEM, GASOLINE",2024,CPV,Ranger,"The owner of a 2024 CPV Ranger reported intermittent warning appeared during cold start. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,05/12/2025,complaint-11500021,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500022,Cobalt Auto Corporation,AIR BAGS,2019,Cobalt,Vista,The owner of a 2019 Cobalt Vista reported dealer could not duplicate the concern on the first visit. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,09/12/2025,complaint-11500022,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500023,Orion Automotive Group,STEERING,2026,Orion,Metro EV,The owner of a 2026 Orion Metro EV reported condition occurred twice within the same month. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,12/15/2025,complaint-11500023,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500024,Continental Passenger Vehicles,SUSPENSION,2026,CPV,Ranger,The owner of a 2026 CPV Ranger reported owner reported reduced confidence during highway operation. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,12/19/2025,complaint-11500024,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500025,Meridian Vehicle Systems,"FUEL SYSTEM, GASOLINE",2017,Meridian,Crossline,"The owner of a 2017 Meridian Crossline reported warning lamp illuminated while driving. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,02/15/2025,complaint-11500025,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500026,Helio Motors Inc.,"FUEL SYSTEM, GASOLINE",2020,Helio,Voltiva,"The owner of a 2020 Helio Voltiva reported intermittent warning appeared during cold start. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,07/23/2025,complaint-11500026,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500027,Cobalt Auto Corporation,"FUEL SYSTEM, GASOLINE",2018,Cobalt,Vista,"The owner of a 2018 Cobalt Vista reported dealer could not duplicate the concern on the first visit. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,08/04/2025,complaint-11500027,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500028,Meridian Vehicle Systems,POWER TRAIN,2016,Meridian,Crossline,The owner of a 2016 Meridian Crossline reported condition occurred twice within the same month. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,06/25/2025,complaint-11500028,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500029,Helio Motors Inc.,AIR BAGS,2025,Helio,Voltiva,The owner of a 2025 Helio Voltiva reported owner reported reduced confidence during highway operation. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,09/11/2025,complaint-11500029,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500030,Continental Passenger Vehicles,"SERVICE BRAKES, HYDRAULIC",2026,CPV,Ranger,"The owner of a 2026 CPV Ranger reported warning lamp illuminated while driving. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,09/18/2025,complaint-11500030,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500031,Helio Motors Inc.,ELECTRICAL SYSTEM,2024,Helio,Voltiva,The owner of a 2024 Helio Voltiva reported intermittent warning appeared during cold start. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,11/01/2025,complaint-11500031,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500032,Continental Passenger Vehicles,SUSPENSION,2020,CPV,Ranger,The owner of a 2020 CPV Ranger reported dealer could not duplicate the concern on the first visit. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,11/20/2025,complaint-11500032,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500033,Apex Motor Works,"FUEL SYSTEM, GASOLINE",2019,Apex,Summit,"The owner of a 2019 Apex Summit reported condition occurred twice within the same month. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,08/02/2025,complaint-11500033,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500034,Riverton Truck Co.,POWER TRAIN,2024,Riverton,Hauler,The owner of a 2024 Riverton Hauler reported owner reported reduced confidence during highway operation. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,12/04/2025,complaint-11500034,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500035,Continental Passenger Vehicles,POWER TRAIN,2026,CPV,Ranger,The owner of a 2026 CPV Ranger reported warning lamp illuminated while driving. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,04/06/2025,complaint-11500035,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500036,Apex Motor Works,AIR BAGS,2022,Apex,Summit,The owner of a 2022 Apex Summit reported intermittent warning appeared during cold start. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,10/22/2025,complaint-11500036,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500037,Northstar Mobility LLC,SUSPENSION,2022,Northstar,Trail LX,The owner of a 2022 Northstar Trail LX reported dealer could not duplicate the concern on the first visit. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,10/10/2025,complaint-11500037,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500038,Orion Automotive Group,POWER TRAIN,2016,Orion,Metro EV,The owner of a 2016 Orion Metro EV reported condition occurred twice within the same month. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,01/07/2025,complaint-11500038,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500039,Meridian Vehicle Systems,STEERING,2022,Meridian,Crossline,The owner of a 2022 Meridian Crossline reported owner reported reduced confidence during highway operation. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,06/20/2025,complaint-11500039,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500040,Riverton Truck Co.,ELECTRICAL SYSTEM,2021,Riverton,Hauler,The owner of a 2021 Riverton Hauler reported warning lamp illuminated while driving. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,02/09/2025,complaint-11500040,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500041,Helio Motors Inc.,SUSPENSION,2017,Helio,Voltiva,The owner of a 2017 Helio Voltiva reported intermittent warning appeared during cold start. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,10/14/2025,complaint-11500041,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500042,Helio Motors Inc.,ELECTRICAL SYSTEM,2021,Helio,Voltiva,The owner of a 2021 Helio Voltiva reported dealer could not duplicate the concern on the first visit. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,02/04/2025,complaint-11500042,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500043,Northstar Mobility LLC,"SERVICE BRAKES, HYDRAULIC",2022,Northstar,Trail LX,"The owner of a 2022 Northstar Trail LX reported condition occurred twice within the same month. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,10/11/2025,complaint-11500043,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500044,Meridian Vehicle Systems,SUSPENSION,2018,Meridian,Crossline,The owner of a 2018 Meridian Crossline reported owner reported reduced confidence during highway operation. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,02/24/2025,complaint-11500044,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500045,Meridian Vehicle Systems,"SERVICE BRAKES, HYDRAULIC",2020,Meridian,Crossline,"The owner of a 2020 Meridian Crossline reported warning lamp illuminated while driving. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,03/16/2025,complaint-11500045,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500046,Cobalt Auto Corporation,STEERING,2015,Cobalt,Vista,The owner of a 2015 Cobalt Vista reported intermittent warning appeared during cold start. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,05/09/2025,complaint-11500046,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500047,Orion Automotive Group,POWER TRAIN,2017,Orion,Metro EV,The owner of a 2017 Orion Metro EV reported dealer could not duplicate the concern on the first visit. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,06/17/2025,complaint-11500047,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500048,Helio Motors Inc.,STEERING,2024,Helio,Voltiva,The owner of a 2024 Helio Voltiva reported condition occurred twice within the same month. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,12/16/2025,complaint-11500048,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500049,Cobalt Auto Corporation,SEAT BELTS,2015,Cobalt,Vista,The owner of a 2015 Cobalt Vista reported owner reported reduced confidence during highway operation. The concern involved seat belts and may relate to the second-row buckle anchor may not meet retention specifications.,N,N,0,0,04/02/2025,complaint-11500049,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500050,Northstar Mobility LLC,AIR BAGS,2016,Northstar,Trail LX,The owner of a 2016 Northstar Trail LX reported warning lamp illuminated while driving. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,08/23/2025,complaint-11500050,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500051,Continental Passenger Vehicles,SUSPENSION,2015,CPV,Ranger,The owner of a 2015 CPV Ranger reported intermittent warning appeared during cold start. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,05/21/2025,complaint-11500051,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500052,Riverton Truck Co.,AIR BAGS,2020,Riverton,Hauler,The owner of a 2020 Riverton Hauler reported dealer could not duplicate the concern on the first visit. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,09/10/2025,complaint-11500052,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500053,Riverton Truck Co.,SEAT BELTS,2026,Riverton,Hauler,The owner of a 2026 Riverton Hauler reported condition occurred twice within the same month. The concern involved seat belts and may relate to the second-row buckle anchor may not meet retention specifications.,N,N,0,0,09/16/2025,complaint-11500053,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500054,Helio Motors Inc.,TIRES,2026,Helio,Voltiva,The owner of a 2026 Helio Voltiva reported owner reported reduced confidence during highway operation. The concern involved tires and may relate to the tire placard may show an incorrect cold inflation pressure.,N,N,0,0,02/15/2025,complaint-11500054,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500055,Riverton Truck Co.,STEERING,2022,Riverton,Hauler,The owner of a 2022 Riverton Hauler reported warning lamp illuminated while driving. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,12/15/2025,complaint-11500055,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500056,Meridian Vehicle Systems,"SERVICE BRAKES, HYDRAULIC",2025,Meridian,Crossline,"The owner of a 2025 Meridian Crossline reported intermittent warning appeared during cold start. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,12/20/2025,complaint-11500056,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500057,Riverton Truck Co.,SUSPENSION,2022,Riverton,Hauler,The owner of a 2022 Riverton Hauler reported dealer could not duplicate the concern on the first visit. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,02/07/2025,complaint-11500057,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500058,Meridian Vehicle Systems,POWER TRAIN,2023,Meridian,Crossline,The owner of a 2023 Meridian Crossline reported condition occurred twice within the same month. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,05/20/2025,complaint-11500058,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500059,Meridian Vehicle Systems,POWER TRAIN,2025,Meridian,Crossline,The owner of a 2025 Meridian Crossline reported owner reported reduced confidence during highway operation. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,04/02/2025,complaint-11500059,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500060,Continental Passenger Vehicles,AIR BAGS,2023,CPV,Ranger,The owner of a 2023 CPV Ranger reported warning lamp illuminated while driving. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,11/10/2025,complaint-11500060,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500061,Cobalt Auto Corporation,"FUEL SYSTEM, GASOLINE",2023,Cobalt,Vista,"The owner of a 2023 Cobalt Vista reported intermittent warning appeared during cold start. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,07/08/2025,complaint-11500061,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500062,Northstar Mobility LLC,ELECTRICAL SYSTEM,2023,Northstar,Trail LX,The owner of a 2023 Northstar Trail LX reported dealer could not duplicate the concern on the first visit. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,10/07/2025,complaint-11500062,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500063,Apex Motor Works,ELECTRICAL SYSTEM,2024,Apex,Summit,The owner of a 2024 Apex Summit reported condition occurred twice within the same month. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,05/24/2025,complaint-11500063,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500064,Orion Automotive Group,STEERING,2019,Orion,Metro EV,The owner of a 2019 Orion Metro EV reported owner reported reduced confidence during highway operation. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,04/24/2025,complaint-11500064,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500065,Continental Passenger Vehicles,TIRES,2021,CPV,Ranger,The owner of a 2021 CPV Ranger reported warning lamp illuminated while driving. The concern involved tires and may relate to the tire placard may show an incorrect cold inflation pressure.,N,N,0,0,04/09/2025,complaint-11500065,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
